Name,ProjectID,Version,FileID
Actually Additions,228404,1.12.2-r151,2824799
AppleSkin,248787,mc1.12-1.0.9,2496585
Applied Energistics 2,223794,rv6-stable-7,2747063
Aroma1997Core,223735,1.12.2-2.0.0.2,2676866
Aroma1997s Dimensional World,60092,1.12.2-2.0.0.2,2672438
Astral Sorcery,241721,1.12.2-1.10.20,2757379
Avaritia 1.1x,261348,1.12.2-3.3.0.33-universal,2660801
Bad Wither No Cookie - Reloaded,261251,1.12.2-3.3.16,2638317
Baubles,227083,1.12-1.5.2,2518667
Better Builder's Wands,238403,1.12-0.11.1.245+69d0d70,2443194
Blockcraftery,278882,1.12.2-1.3.1,2716712
Blood Magic,224791,1.12.2-2.4.3-105,2822288
Bookshelf,228525,1.12.2-2.3.585,2727800
Brandon's Core,231382,1.12.2-2.4.17.208-universal,2744222
Chameleon,230497,1.12-4.1.3,2450900
Chisel,235279,MC1.12.2-1.0.1.44,2813538
Chisels & Bits,231095,14.33,2720655
CodeChicken Lib,242818,1.12.2-3.2.3.358-universal,2779848
CoFH Core,69162,1.12.2-4.6.3.27-universal,2716100
CoFH World,271384,1.12.2-1.3.1.7-universal,2715784
Common Capabilities,247007,1.12.2-2.4.4,2739226
ConnectedTexturesMod,267602,MC1.12.2-1.0.0.29,2809915
Controlling,250398,3.0.7,2731319
Cooking for Blockheads,231484,1.12.2-6.4.71,2733516
Crafting Tweaks,233071,1.12.2-8.1.9,2562139
CraftTweaker,239197,1.12-4.1.19,2724129
Cucumber Library,272335,1.12.2-1.1.3,2645867
Custom Main Menu,226406,MC1.12.2-2.0.9,2638282
CXLibrary,244023,1.12.1-1.6.1,2463886
Cyclic,239286,1.12.2-1.19.18,2821917
Cyclops Core,232758,1.12.2-1.5.1,2811241
Dark Utilities,242195,1.12.2-1.8.226,2694889
Draconic Evolution,223565,1.12.2-2.3.24.349-universal,2753317
Ender IO,64578,1.12.2-5.1.52,2809869
EnderCore,231868,1.12.2-0.5.73,2822401
Environmental Tech,245453,1.12.2-2.0.20.1,2691536
Exchangers,270183,1.12.2-2.8,2621277
Extra Utilities,225561,1.12-1.9.9,2678374
Extreme Reactors,250277,1.12.2-0.4.5.67,2722271
Fast Leaf Decay,230976,v14,2463272
GraveStone Mod,238551,1.10.3,2744766
Guide-API,228832,1.12-2.1.8-63,2645992
,231951,,
,266515,,
,236307,,
,251389,,
,277938,,
,223094,,
,227049,,
,265917,,
,32274,,
,238222,,
,240630,,
,74924,,
,233105,,
,268560,,
,254241,,
,238747,,
,220954,,
,78320,,
,243478,,
,60089,,
,253211,,
,246640,,
,277064,,
,223008,,
,260327,,
,237701,,
,270789,,
,224641,,
,250763,,
,251792,,
,241344,,
,223852,,
,254602,,
,223628,,
,245211,,
,227639,,
,271835,,
,227443,,
,69163,,
,222880,,
,291737,,
,74072,,
,250957,,
,245480,,
,260912,,
,247921,,
,225643,,
,221857,,
,248453,,
,59816,,
,278494,,
,229876,,
,228756,,
,220318,,
,228815,,
,228816,,
,245174,,
,247111,,
,79616,,
,291499,,
,256141,,
,268566,,
,268567,,
,246010,,
,241665,,
,257814,,
,257818,,
,228027,,
,74120,,
,277631,,
,224369,,
,250294,,
,250363,,
,265642,,
,306626,,
,306770,,
,245755,,
,262366,,
,267939,,
,243121,,
,223666,,
,285492,,
,306028,,
,313193,,
